Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	 : 
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	(m/s²)(N)	 
0.0000000000000e+000	      -0.1504349	               0
1.9531250000000e-002	      -0.1366724	     0.007331555
3.9062500000000e-002	      -0.1397468	    -0.006409508
5.8593750000000e-002	      -0.1296697	     0.007069201
7.8125000000000e-002	      -0.1384313	      0.04118307
9.7656250000000e-002	      -0.0400607	     0.009186695
1.1718750000000e-001	      -0.1355187	     -0.04286956
1.3671875000000e-001	        -0.16102	     -0.01073343
1.5625000000000e-001	      -0.2801791	     0.003220845
1.7578125000000e-001	        -0.16408	       0.1011975
1.9531250000000e-001	      -0.1705555	      0.02463587
2.1484375000000e-001	      -0.1664887	     -0.06202861
2.3437500000000e-001	      -0.1743068	      -0.1008698
2.5390625000000e-001	      -0.5271868	       0.1690433
2.7343750000000e-001	    -0.009779884	       0.0946117
2.9296875000000e-001	     -0.07301505	      0.04101916
3.1250000000000e-001	      -0.3060041	       0.2041506
3.3203125000000e-001	      -0.2579091	      0.09061466
3.5156250000000e-001	      -0.0814111	       0.1035606
3.7109375000000e-001	     -0.06255142	       0.3903592
3.9062500000000e-001	      0.06680511	     -0.03918872
4.1015625000000e-001	      -0.2842823	       0.2845974
4.2968750000000e-001	      -0.4796232	         1.43412
4.4921875000000e-001	        2.753554	       -1.711083
4.6875000000000e-001	       0.5079324	       -1.064347
4.8828125000000e-001	       0.1863943	      -0.4001965
5.0781250000000e-001	      -0.4022278	      -0.5256367
5.2734375000000e-001	      0.03071941	      -0.3645127
5.4687500000000e-001	       0.5387527	      -0.1612068
5.6640625000000e-001	      -0.0964397	      -0.6570241
5.8593750000000e-001	       0.1545892	       0.3095193
6.0546875000000e-001	      -0.6130614	      -0.6809689
6.2500000000000e-001	       0.1668015	       -0.095877
6.4453125000000e-001	      -0.2425857	       -0.450358
6.6406250000000e-001	      -0.4771771	     -0.09094955
6.8359375000000e-001	     -0.06486116	       0.1619112
7.0312500000000e-001	       -0.205075	      -0.1886286
7.2265625000000e-001	    -0.007930094	      -0.2458526
7.4218750000000e-001	      -0.4675968	      -0.4902872
7.6171875000000e-001	      -0.2763511	      -0.2030012
7.8125000000000e-001	      -0.1429096	      0.07391993
8.0078125000000e-001	      -0.2686427	      -0.2376126
8.2031250000000e-001	    -0.008301184	     0.002279269
8.3984375000000e-001	      -0.1557293	       0.2095745
8.5937500000000e-001	       0.0400052	      -0.1111612
8.7890625000000e-001	        0.127155	     -0.04211307
8.9843750000000e-001	     -0.04912604	      -0.3453972
9.1796875000000e-001	     -0.07653568	      -0.2914583
9.3750000000000e-001	      -0.1675918	      -0.1356263
9.5703125000000e-001	     -0.04710136	      -0.1359801
9.7656250000000e-001	      -0.1530717	      -0.2990635
9.9609375000000e-001	      -0.3600266	      -0.1066428
1.0156250000000e+000	      -0.3028891	      -0.1959704
1.0351562500000e+000	      -0.1786821	       0.1324384
1.0546875000000e+000	      -0.3624178	      -0.2974779
